state,county,med_prop_tax_paid,med_housing_value,prop_tax_rate
Colorado,Adams County,2962,484200.0,0.66
Colorado,Alamosa County,1024,239100.0,0.45
Colorado,Arapahoe County,2938,561200.0,0.55
Colorado,Archuleta County,1688,478100.0,0.33
Colorado,Baca County,545,122900.0,0.4
Colorado,Bent County,517,146900.0,0.41
Colorado,Boulder County,3998,756300.0,0.52
Colorado,Broomfield County,4007,664500.0,0.66
Colorado,Chaffee County,1901,665700.0,0.29
Colorado,Cheyenne County,887,187500.0,0.41
Colorado,Clear Creek County,2350,608500.0,0.4
Colorado,Conejos County,780,193400.0,0.44
Colorado,Costilla County,582,184700.0,0.31
Colorado,Crowley County,521,116200.0,0.32
Colorado,Custer County,1547,392100.0,0.35
Colorado,Delta County,1068,343200.0,0.34
Colorado,Denver County,2751,616000.0,0.47
Colorado,Dolores County,659,247600.0,0.39
Colorado,Douglas County,3947,713600.0,0.57
Colorado,Eagle County,3510,839500.0,0.36
Colorado,Elbert County,3214,709800.0,0.47
Colorado,El Paso County,1874,461000.0,0.45
Colorado,Fremont County,1175,324000.0,0.36
Colorado,Garfield County,2201,527800.0,0.39
Colorado,Gilpin County,1310,573900.0,0.37
Colorado,Grand County,2071,601500.0,0.3
Colorado,Gunnison County,1798,621800.0,0.31
Colorado,Hinsdale County,1359,437900.0,0.36
Colorado,Huerfano County,699,247800.0,0.31
Colorado,Jackson County,416,239600.0,0.22
Colorado,Jefferson County,3082,637600.0,0.53
Colorado,Kiowa County,939,161500.0,0.63
Colorado,Kit Carson County,1185,239500.0,0.48
Colorado,Lake County,1960,466100.0,0.64
Colorado,La Plata County,1552,591500.0,0.27
Colorado,Larimer County,2832,569100.0,0.52
Colorado,Las Animas County,535,237600.0,0.27
Colorado,Lincoln County,1092,246500.0,0.46
Colorado,Logan County,1132,245300.0,0.45
Colorado,Mesa County,1439,378600.0,0.38
Colorado,Mineral County,1500,430500.0,0.33
Colorado,Moffat County,1146,289500.0,0.52
Colorado,Montezuma County,958,331400.0,0.29
Colorado,Montrose County,1385,388400.0,0.36
Colorado,Morgan County,1751,338600.0,0.52
Colorado,Otero County,520,168900.0,0.37
Colorado,Ouray County,2050,739800.0,0.24
Colorado,Park County,1771,532100.0,0.39
Colorado,Phillips County,1456,258200.0,0.5
Colorado,Pitkin County,4074,1139100.0,0.34
Colorado,Prowers County,487,160600.0,0.34
Colorado,Pueblo County,1467,291300.0,0.52
Colorado,Rio Blanco County,917,274400.0,0.33
Colorado,Rio Grande County,925,239500.0,0.44
Colorado,Routt County,2736,854700.0,0.28
Colorado,Saguache County,690,212600.0,0.43
Colorado,San Juan County,1364,432500.0,0.29
Colorado,San Miguel County,1900,720700.0,0.27
Colorado,Sedgwick County,664,149000.0,0.52
Colorado,Summit County,2995,939900.0,0.32
Colorado,Teller County,1672,479900.0,0.35
Colorado,Washington County,874,226200.0,0.42
Colorado,Weld County,2440,471700.0,0.55
Colorado,Yuma County,1003,211700.0,0.53
Connecticut,Capitol Planning Region,6454,323700.0,1.91
Connecticut,Greater Bridgeport Planning Region,8670,428800.0,1.65
Connecticut,Lower Connecticut River Valley Planning Region,6357,379700.0,1.51
Connecticut,Naugatuck Valley Planning Region,5983,317700.0,1.71
Connecticut,Northeastern Connecticut Planning Region,4375,307600.0,1.37
Connecticut,Northwest Hills Planning Region,5593,335600.0,1.35
Connecticut,South Central Connecticut Planning Region,6759,353100.0,1.82
Connecticut,Southeastern Connecticut Planning Region,5228,323400.0,1.56
Connecticut,Western Connecticut Planning Region,9295,652900.0,1.17
Delaware,Kent County,1363,316600.0,0.43
Delaware,New Castle County,2499,352200.0,0.72
Delaware,Sussex County,1222,382600.0,0.31
District of Columbia,District of Columbia,4312,737100.0,0.6
Florida,Alachua County,2773,288800.0,0.99
Florida,Baker County,1631,256700.0,0.88
Florida,Bay County,1807,310500.0,0.59
Florida,Bradford County,1164,212500.0,0.54
Florida,Brevard County,2311,339600.0,0.68
Florida,Broward County,3890,414600.0,0.96
Florida,Calhoun County,734,145300.0,0.59
Florida,Charlotte County,2785,328900.0,0.84
Florida,Citrus County,1430,245500.0,0.63
Florida,Clay County,2241,312500.0,0.77
Florida,Collier County,3386,540700.0,0.59
Florida,Columbia County,1434,194900.0,0.73
Florida,DeSoto County,1447,174100.0,0.72
Florida,Dixie County,813,132000.0,0.6
Florida,Duval County,2264,303500.0,0.75
Florida,Escambia County,1495,257200.0,0.63
Florida,Flagler County,2789,364900.0,0.76
Florida,Franklin County,1728,273300.0,0.55
Florida,Gadsden County,927,174900.0,0.53
Florida,Gilchrist County,1302,199900.0,0.61
Florida,Glades County,1170,137000.0,0.64
Florida,Gulf County,1578,250000.0,0.47
Florida,Hamilton County,816,111200.0,0.48
Florida,Hardee County,1264,153600.0,0.66
Florida,Hendry County,1756,219200.0,0.86
Florida,Hernando County,1858,276000.0,0.71
Florida,Highlands County,1353,187900.0,0.69
Florida,Hillsborough County,3010,371500.0,0.84
Florida,Holmes County,600,110200.0,0.44
Florida,Indian River County,2436,351500.0,0.71
Florida,Jackson County,609,120800.0,0.49
Florida,Jefferson County,1439,232600.0,0.65
Florida,Lafayette County,863,157200.0,0.6
Florida,Lake County,2433,318400.0,0.77
Florida,Lee County,2858,362200.0,0.78
Florida,Leon County,2397,301800.0,0.77
Florida,Levy County,1201,190600.0,0.65
Florida,Liberty County,1152,127300.0,0.61
Florida,Madison County,965,116200.0,0.64
Florida,Manatee County,3047,391400.0,0.76
Florida,Marion County,1806,243100.0,0.72
Florida,Martin County,3322,432200.0,0.76
Florida,Miami-Dade County,3744,463000.0,0.81
Florida,Monroe County,4129,780600.0,0.53
Florida,Nassau County,2699,382800.0,0.73
Florida,Okaloosa County,2011,351200.0,0.59
Florida,Okeechobee County,1423,193000.0,0.73
Florida,Orange County,2967,390100.0,0.82
Florida,Osceola County,2700,353300.0,0.76
Florida,Palm Beach County,3858,447300.0,0.82
Florida,Pasco County,2206,300900.0,0.82
Florida,Pinellas County,2474,355100.0,0.74
Florida,Polk County,1933,266500.0,0.73
