,zpid,address,price,beds,baths,area_sqft,latitude,longitude,status,home_type,days_on_zillow,zestimate,detail_url,has_open_house,is_featured,street_add,city,state_zipcode,state_code,zipcode,state_name
1762,41199099,"336 Cedarmont Dr, Nashville, TN 37211",415000,3.0,4.0,2119.0,36.04257,-86.70286,House for sale,SINGLE_FAMILY,3,,https://www.zillow.com/homedetails/336-Cedarmont-Dr-Nashville-TN-37211/41199099_zpid/,False,False,336 Cedarmont Dr,Nashville,TN 37211,TN,37211,Tennessee
1763,55250010,"8946 Fuller Rd, Chattanooga, TN 37421",399000,4.0,3.0,2052.0,34.99682,-85.127,House for sale,SINGLE_FAMILY,3,397800.0,https://www.zillow.com/homedetails/8946-Fuller-Rd-Chattanooga-TN-37421/55250010_zpid/,False,False,8946 Fuller Rd,Chattanooga,TN 37421,TN,37421,Tennessee
1764,2083939415,"4983 Rowen Oak Cv, Collierville, TN 38017",950000,8.0,11.0,11895.0,35.01233,-89.71882,House for sale,SINGLE_FAMILY,11,899100.0,https://www.zillow.com/homedetails/4983-Rowen-Oak-Cv-Collierville-TN-38017/2083939415_zpid/,False,False,4983 Rowen Oak Cv,Collierville,TN 38017,TN,38017,Tennessee
1765,41660753,"8908 Grantop Dr, Knoxville, TN 37923",439000,4.0,3.0,2612.0,35.955986,-84.08772,House for sale,SINGLE_FAMILY,11,,https://www.zillow.com/homedetails/8908-Grantop-Dr-Knoxville-TN-37923/41660753_zpid/,True,False,8908 Grantop Dr,Knoxville,TN 37923,TN,37923,Tennessee
1766,42021553,"109 Scenic Hill Dr, Spring City, TN 37381",489000,4.0,3.0,2520.0,35.6783,-84.85656,House for sale,SINGLE_FAMILY,94,,https://www.zillow.com/homedetails/109-Scenic-Hill-Dr-Spring-City-TN-37381/42021553_zpid/,False,False,109 Scenic Hill Dr,Spring City,TN 37381,TN,37381,Tennessee
1767,40816641,"2501 Cecelia Ave, Maryville, TN 37804",190000,3.0,2.0,1430.0,35.789192,-83.94883,House for sale,SINGLE_FAMILY,4,,https://www.zillow.com/homedetails/2501-Cecelia-Ave-Maryville-TN-37804/40816641_zpid/,False,False,2501 Cecelia Ave,Maryville,TN 37804,TN,37804,Tennessee
1768,348292284,"6241 Fredonia Rd, Manchester, TN 37355",679900,4.0,3.0,2400.0,35.576164,-86.13716,House for sale,SINGLE_FAMILY,2,,https://www.zillow.com/homedetails/6241-Fredonia-Rd-Manchester-TN-37355/348292284_zpid/,False,False,6241 Fredonia Rd,Manchester,TN 37355,TN,37355,Tennessee
1769,41544474,"108 N Fork Branch Rd, Rogersville, TN 37857",279900,3.0,2.0,1290.0,36.327324,-83.01317,House for sale,SINGLE_FAMILY,3,275100.0,https://www.zillow.com/homedetails/108-N-Fork-Branch-Rd-Rogersville-TN-37857/41544474_zpid/,False,False,108 N Fork Branch Rd,Rogersville,TN 37857,TN,37857,Tennessee
1770,42034344,"117 Normandy Rd, Oak Ridge, TN 37830",539000,4.0,3.0,2700.0,35.989975,-84.32971,House for sale,SINGLE_FAMILY,3,,https://www.zillow.com/homedetails/117-Normandy-Rd-Oak-Ridge-TN-37830/42034344_zpid/,True,False,117 Normandy Rd,Oak Ridge,TN 37830,TN,37830,Tennessee
1771,41495716,"3440 Sulphur Springs Rd, Morristown, TN 37813",259500,3.0,2.0,1568.0,36.168114,-83.295685,House for sale,SINGLE_FAMILY,10,,https://www.zillow.com/homedetails/3440-Sulphur-Springs-Rd-Morristown-TN-37813/41495716_zpid/,False,False,3440 Sulphur Springs Rd,Morristown,TN 37813,TN,37813,Tennessee
